'ServiceCity','ServiceState','ServiceZip','MeterMake','MeterModel','MeterSize','dateofaccountinitiation_d','SampleReads','SampleBegins_d','SampleEnds_d','AnnualKgal','SeasonalKgal','NonseasonalKgal','PctSeasonal','Log_AnnualKgal_Bin','wave','language','q8c','q8d','q15a','q15h','q20f','q21a','q31e','q33l','Clayton_attitude_A','Clayton_attitude_B','Clayton_attitude_C','Clayton_attitude_D','survey_year_moved_in','survey_number_of_bedrooms','survey_number_of_adults','survey_number_of_teenagers','survey_number_of_children','survey_number_of_infants','capita','utility','PrimaryFirst','survey_year','survey_number_of_toilets','survey_number_of_bathtub_showers','survey_number_of_bathtub_only','survey_number_of_whirlpools','survey_number_of_shower_only','survey_number_of_utility_sink','survey_number_of_bathtubs','survey_number_of_showers','survey_disposal','survey_ice_maker','survey_dishwasher','survey_clothes_washer_HE','survey_hot_water_tankless','survey_hot_water_on_demand','survey_evap_cooler','survey_humidifier','survey_treatment','survey_aquarium','survey_pets','survey_spa_indoor','survey_water_feature_indoor','survey_greenhouse_indoor','survey_other_features','survey_number_of_toilets_GT16','survey_number_of_toilets_16','survey_number_of_toilets_HET','survey_number_of_toilets_dual','survey_number_of_showers_hydra','survey_number_of_showers_rain','survey_number_of_showers_spray','survey_replaced_toilets_10','survey_replaced_showerheads_10','survey_replaced_clothes_washer_10','survey_replaced_dishwasher_10','survey_leak_toilet','survey_faucet_drips','survey_leak_pool','survey_leak_irrigation','survey_leak_other','survey_hot_water_gas','survey_hot_water_electric','survey_hot_water_propane','survey_hot_water_solar','survey_hot_water_wait','survey_hot_water_wait_kitchen','survey_hot_water_wait_master_bath','survey_hot_water_wait_other_bath','survey_hot_water_wait_other_room','survey_hot_water_waiting','survey_hot_water_wait_bother','survey_irrigation','survey_landscape_no_maintenance','survey_landscaper','survey_landscaper_waters','survey_well','survey_canal_ditch','survey_stream','survey_rain_barrel','survey_roof_direction','survey_gray_water','survey_other_sources_pct','survey_landscape_turf','survey_landscape_trees_and_shrubs','survey_garden_veggie','survey_garden_flower','survey_landscape_low_water','survey_landscape_nonirrigated','survey_manual_irrigation_pct','survey_irrigation_inground','survey_irrigation_inground_timer','survey_irrigation_inground_master','survey_irrigation_inground_bfp','survey_irrigation_inground_drip','survey_irrigation_manual_override','survey_irrigation_sensor_soil','survey_irrigation_sensor_rain','survey_irrigation_inground_timer_adjusted','survey_irrigation_inground_wbic','survey_spa_or_hot_tub_outdoor','survey_spa_or_hot_tub_outdoor_filled','survey_water_feature_outdoor','survey_pool','survey_pool_fill_automatic','survey_pool_cover_chemical','survey_pool_cover','survey_pool_cover_overnight','survey_car_washed','survey_walk_washed','survey_program_participation_3','survey_conservation_last_few','survey_giveaway_3','survey_retrofit_rebate_3','survey_landscape_rebate_3','survey_followed_guidelines','survey_replaced_clothes_washer_HE','survey_conservation_shower_short','survey_replaced_showerheads_LF','survey_toilet_inserts','survey_replaced_toilets_last_few','survey_disposal_used_less','survey_dishwasher_used_less','survey_clothes_washer_used_less','survey_faucet_drips_repaired','survey_audit_last_few','survey_shower_bucket','survey_replaced_dishwasher_HE','survey_car_washed_less_often','survey_irrigation_less_often','survey_irrigation_avoid_heat','survey_landscape_low_water_last_few','survey_irrigation_timer_shortened_last_few','survey_leak_irrigation_repaired','survey_irrigation_inground_monitor','survey_irrigation_inground_cycle','survey_gray_water_last_few','survey_rain_barrel_last_few','survey_drought','survey_household_pays','survey_year_built','survey_age_of_home','survey_years_in_home','survey_renter','survey_homies','survey_adults_employed','survey_baths_per_week','survey_showers_not_at_home','survey_highest_grade','survey_income','survey_participant','reuws2_attitude_A','reuws2_attitude_B','reuws2_attitude_C','reuws2_attitude_D','reuws2_attitude_E','reuws2_attitude_F','reuws2_attitude_G','reuws2_attitude_H','reuws2_attitude_I','reuws2_attitude_J','reuws2_attitude_K','reuws2_attitude_L','reuws2_attitude_M','reuws2_attitude_N','reuws2_attitude_O','reuws2_attitude_P','reuws2_attitude_Q','reuws2_attitude_R','reuws2_attitude_S','imported_d','MeterSPTypeDesc','Dateactive','SampleDays','AverageGPD','WinterReads','Fort_Collins_attitude_A','PremiseYear','Scottsdale_aerator_rebates','Scottsdale_irrigation_controller_rebates','Scottsdale_hot_water_recirculator_rebates','Scottsdale_showerhead_rebates','Scottsdale_toilet_rebates','Scottsdale_turf_rebates','Scottsdale_attitude_A','Scottsdale_attitude_B','Scottsdale_attitude_C','SurveyID'
'JONESBORO           ','GA','30236','Badger              ','O5/8BADRTR','5/8       ','2006-07-20',9.00,'2010-01-01','2010-12-01',12.00,3.00,9.00,25.00,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,'2012-04-12','',,,,,,,,,,,,,,,,511011.00
'REX                 ','GA','30273','Badger              ','O5/8BADRTR','5/8       ','1972-11-27',9.00,'2010-01-01','2010-12-01',12.00,3.00,9.00,25.00,1.00,1.00,1.00,,,,,,,,,2.00,1.00,1.00,1.00,1978.00,3.00,1.00,0.00,0.00,0.00,1.00,51.00,1.00,2011.00,2.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,,,0.00,,,,,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33,1.00,1975.00,36.00,33.00,0.00,1.00,0.00,2.00,0.00,14.00,$37500.00,1.00,0.50,1.00,1.00,1.00,0.50,0.50,1.00,-0.50,1.00,0.50,1.00,-1.00,1.00,1.00,1.00,-0.50,0.50,0.50,1.00,'2012-04-12','',,,,,,,,,,,,,,,,511012.00
'MORROW              ','GA','30260','Badger              ','O5/8BADRTR','5/8       ','1964-07-01',10.00,'2010-01-01','2010-12-01',12.00,2.00,10.00,16.66,1.00,1.00,1.00,,,,,,,,,2.00,2.00,1.00,1.00,2002.00,3.00,1.00,0.00,0.00,0.00,1.00,51.00,1.00,2011.00,2.00,2.00,0.00,0.00,1.00,0.00,2.00,3.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,2.00,1.00,,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.67,0.50,0.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,,,0.00,,,,,0.50,0.50,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33,1.00,1965.00,46.00,9.00,0.00,0.00,1.00,5.00,0.00,16.00,$125000.00,1.00,-0.50,0.50,0.50,1.00,-1.00,-0.50,0.50,0.50,1.00,0.50,0.50,-0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,'2012-04-12','',,,,,,,,,,,,,,,,511013.00
'FOREST PARK         ','GA','30297','                   ','M5/8UKN3D','5/8       ','1971-09-20',9.00,'2010-01-01','2010-12-01',12.00,3.00,9.00,25.00,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,'2012-04-12','',,,,,,,,,,,,,,,,511014.00
'COLLEGE PARK        ','GA','30349','Badger              ','O5/8BADRTR','5/8       ','1984-10-25',11.00,'2010-01-01','2010-12-01',12.00,1.00,11.00,8.33,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,'2012-04-12','',,,,,,,,,,,,,,,,511015.00
'ELLENWOOD           ','GA','30294','Badger              ','O5/8BADRTR','5/8       ','1988-11-02',11.00,'2010-01-01','2010-12-01',13.00,2.00,11.00,15.38,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,'2012-04-12','',,,,,,,,,,,,,,,,511016.00
'REX                 ','GA','30273','Badger              ','O5/8BADRTR','5/8       ','2002-10-18',11.00,'2010-01-01','2010-12-01',13.00,2.00,11.00,15.38,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,'2012-04-12','',,,,,,,,,,,,,,,,511017.00
'MORROW              ','GA','30260','Badger              ','O5/8BADRTR','5/8       ','1975-06-10',10.00,'2010-01-01','2010-12-01',13.00,3.00,10.00,23.07,1.00,1.00,1.00,,,,,,,,,2.00,1.00,1.00,1.00,1978.00,3.00,1.00,0.00,0.00,0.00,1.00,51.00,1.00,2011.00,2.00,1.00,,,1.00,,1.00,2.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,,2.00,,,,,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.67,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,,,0.00,,,,,0.00,0.50,1.00,1.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,1.00,1975.00,36.00,33.00,0.00,1.00,1.00,0.00,0.00,12.00,$25000.00,1.00,1.00,0.00,,1.00,1.00,1.00,1.00,1.00,1.00,0.50,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,'2012-04-12','',,,,,,,,,,,,,,,,511018.00
'RIVERDALE           ','GA','30296','Badger              ','O5/8BADRTR','5/8       ','1966-02-18',11.00,'2010-01-01','2010-12-01',13.00,2.00,11.00,15.38,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,'2012-04-12','',,,,,,,,,,,,,,,,511019.00
'ELLENWOOD           ','GA','30294','                   ','M5/8UKN4D','5/8       ','1999-10-22',11.00,'2010-01-01','2010-11-01',13.00,2.00,11.00,15.38,1.00,1.00,1.00,,,,,,,,,3.00,1.00,1.00,2.00,1999.00,3.00,1.00,0.00,0.00,0.00,1.00,51.00,1.00,2011.00,,,,,,,,,0.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,3.00,,,3.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,,,0.00,,,,,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,1.00,2006.00,5.00,12.00,0.00,0.00,1.00,5.00,0.00,16.00,$62500.00,0.00,1.00,1.00,1.00,,1.00,1.00,0.50,0.00,0.00,0.00,0.50,,1.00,1.00,1.00,0.00,0.00,1.00,1.00,'2012-04-12','',,,,,,,,,,,,,,,,511020.00
'RIVERDALE           ','GA','30274','BADGER              ','R5/8BADRTR','5/8       ','2003-09-16',12.00,'2010-01-01','2010-12-01',14.00,2.00,12.00,14.28,1.00,2.00,1.00,,,,,,,,,2.00,1.00,1.00,2.00,2004.00,4.00,1.00,0.00,0.00,0.00,1.00,51.00,1.00,2011.00,3.00,2.00,0.00,0.00,0.00,0.00,2.00,2.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.33,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,,,0.00,,,,,0.00,0.50,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33,1.00,2003.00,8.00,7.00,1.00,0.00,1.00,0.00,0.00,16.00,$37500.00,1.00,-0.50,1.00,1.00,1.00,1.00,1.00,1.00,1.00,,-1.00,-1.00,-1.00,0.50,0.50,0.50,-0.50,1.00,1.00,1.00,'2012-04-12','',,,,,,,,,,,,,,,,511021.00
'ELLENWOOD           ','GA','30294','INVENSYS            ','R5/8INVECR','5/8       ','2001-05-05',11.00,'2010-01-01','2010-12-01',14.00,3.00,11.00,21.42,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,'2012-04-12','',,,,,,,,,,,,,,,,511022.00
'COLLEGE PARK        ','GA','30349','INVENSYS            ','R5/8INVECR','5/8       ','1996-05-23',12.00,'2010-01-01','2010-12-01',14.00,2.00,12.00,14.28,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,'2012-04-12','',,,,,,,,,,,,,,,,511023.00
'JONESBORO           ','GA','30236','Badger              ','O5/8BADRTR','5/8       ','1985-03-15',12.00,'2010-01-01','2010-12-01',14.00,2.00,12.00,14.28,1.00,1.00,1.00,,,,,,,,,3.00,1.00,1.00,4.00,2003.00,3.00,1.00,0.00,0.00,0.00,1.00,51.00,1.00,2011.00,2.00,2.00,,,,,2.00,2.00,,,1.00,,,,,,,,,,,,0.00,2.00,,,,2.00,,,0.00,1.00,,,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.67,0.50,,,,,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,1.00,0.00,1.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,,,0.00,,,,,1.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1985.00,26.00,8.00,0.00,1.00,0.00,1.00,0.00,12.00,$62500.00,1.00,1.00,-1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.50,1.00,1.00,-0.50,1.00,1.00,1.00,1.00,1.00,1.00,1.00,'2012-04-12','',,,,,,,,,,,,,,,,511024.00
'ELLENWOOD           ','GA','30294','BADGER              ','R5/8BADRTR','5/8       ','2003-12-08',11.00,'2010-01-01','2010-11-01',14.00,3.00,11.00,21.42,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,'2012-04-12','',,,,,,,,,,,,,,,,511025.00
'CONLEY              ','GA','30288','Badger              ','O5/8BADRTR','5/8       ','1968-07-12',11.00,'2010-01-01','2010-12-01',15.00,4.00,11.00,26.66,1.00,2.00,1.00,,,,,,,,,2.00,1.00,3.00,2.00,1935.00,3.00,1.00,0.00,0.00,0.00,1.00,51.00,1.00,2011.00,2.00,1.00,,,,,1.00,1.00,,,1.00,1.00,,,,,,,,,,,0.00,,,,,,,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.33,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,,,0.00,,,,,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,1.00,,,76.00,0.00,0.00,0.00,2.00,0.00,10.00,$25000.00,1.00,,,,1.00,,1.00,,0.00,,,,,1.00,1.00,1.00,,,,,'2012-04-12','',,,,,,,,,,,,,,,,511026.00
'JONESBORO           ','GA','30236','Badger              ','O5/8BADRTR','5/8       ','2005-03-29',9.00,'2010-01-01','2010-12-01',16.00,7.00,9.00,43.75,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,'2012-04-12','',,,,,,,,,,,,,,,,511033.00
'MORROW              ','GA','30260','Badger              ','O5/8BADRTR','5/8       ','2002-01-30',12.00,'2010-01-01','2010-12-01',16.00,4.00,12.00,25.00,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,'2012-04-12','',,,,,,,,,,,,,,,,511034.00
'MORROW              ','GA','30260','                   ','M5/8UKN3D','5/8       ','1970-04-23',12.00,'2010-01-01','2010-12-01',15.00,3.00,12.00,20.00,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,'2012-04-12','',,,,,,,,,,,,,,,,511027.00
'FOREST PARK         ','GA','30297','Badger              ','O5/8BADRTR','5/8       ','1992-04-02',8.00,'2010-02-01','2010-11-01',15.00,7.00,8.00,46.66,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,'2012-04-12','',,,,,,,,,,,,,,,,511028.00
'REX                 ','GA','30273','Badger              ','O5/8BADRTR','5/8       ','1984-03-27',10.00,'2010-01-01','2010-11-01',15.00,5.00,10.00,33.33,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,'2012-04-12','',,,,,,,,,,,,,,,,511029.00
'ELLENWOOD           ','GA','30294','BADGER              ','R5/8BADRTR','5/8       ','2004-08-16',12.00,'2010-01-01','2010-12-01',15.00,3.00,12.00,20.00,1.00,2.00,1.00,,,,,,,,,2.00,2.00,3.00,2.00,2005.00,4.00,1.00,0.00,0.00,0.00,1.00,51.00,1.00,2011.00,3.00,0.00,1.00,0.00,3.00,0.00,1.00,3.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.67,0.50,0.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,,,0.00,,,,,1.00,0.50,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.67,1.00,2003.00,8.00,6.00,0.00,0.00,1.00,0.00,0.00,13.00,$37500.00,1.00,0.50,1.00,1.00,1.00,0.50,1.00,1.00,0.00,1.00,1.00,-1.00,-1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,'2012-04-12','',,,,,,,,,,,,,,,,511030.00
'REX                 ','GA','30273','                   ','M5/8UKN3D','5/8       ','1992-04-06',12.00,'2010-01-01','2010-12-01',16.00,4.00,12.00,25.00,2.00,1.00,1.00,,,,,,,,,2.00,1.00,3.00,1.00,1992.00,3.00,1.00,0.00,0.00,0.00,1.00,51.00,1.00,2011.00,2.00,2.00,2.00,0.00,0.00,0.00,4.00,2.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.33,1.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,,,,,,,,2.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1992.00,19.00,19.00,0.00,1.00,1.00,3.00,0.00,16.00,$37500.00,1.00,-1.00,-1.00,-0.50,-1.00,-0.50,1.00,1.00,-0.50,1.00,-0.50,0.50,-1.00,-1.00,-1.00,1.00,1.00,1.00,1.00,1.00,'2012-04-12','',,,,,,,,,,,,,,,,511035.00
'MORROW              ','GA','30260','BADGER              ','R5/8BADRTR','5/8       ','2004-02-24',12.00,'2010-01-01','2010-12-01',16.00,4.00,12.00,25.00,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,'2012-04-12','',,,,,,,,,,,,,,,,511036.00
'JONESBORO           ','GA','30236','Badger              ','O5/8BADRTR','5/8       ','2006-11-20',11.00,'2010-01-01','2010-11-01',16.00,5.00,11.00,31.25,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,'2012-04-12','',,,,,,,,,,,,,,,,511037.00
'FOREST PARK         ','GA','30297','Badger              ','O5/8BADRTR','5/8       ','2000-07-18',11.00,'2010-01-01','2010-12-01',16.00,5.00,11.00,31.25,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,'2012-04-12','',,,,,,,,,,,,,,,,511038.00
'ELLENWOOD           ','GA','30294','Badger              ','O5/8BADRTR','5/8       ','2002-04-16',11.00,'2010-01-01','2010-12-01',17.00,6.00,11.00,35.29,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,'2012-04-12','',,,,,,,,,,,,,,,,511039.00
