'ServiceCity','ServiceState','ServiceZip','MeterMake','MeterModel','MeterSize','dateofaccountinitiation_d','SampleReads','SampleBegins_d','SampleEnds_d','AnnualKgal','SeasonalKgal','NonseasonalKgal','PctSeasonal','Log_AnnualKgal_Bin','wave','language','q8c','q8d','q15a','q15h','q20f','q21a','q31e','q33l','Clayton_attitude_A','Clayton_attitude_B','Clayton_attitude_C','Clayton_attitude_D','survey_year_moved_in','survey_number_of_bedrooms','survey_number_of_adults','survey_number_of_teenagers','survey_number_of_children','survey_number_of_infants','capita','utility','PrimaryFirst','survey_year','survey_number_of_toilets','survey_number_of_bathtub_showers','survey_number_of_bathtub_only','survey_number_of_whirlpools','survey_number_of_shower_only','survey_number_of_utility_sink','survey_number_of_bathtubs','survey_number_of_showers','survey_disposal','survey_ice_maker','survey_dishwasher','survey_clothes_washer_HE','survey_hot_water_tankless','survey_hot_water_on_demand','survey_evap_cooler','survey_humidifier','survey_treatment','survey_aquarium','survey_pets','survey_spa_indoor','survey_water_feature_indoor','survey_greenhouse_indoor','survey_other_features','survey_number_of_toilets_GT16','survey_number_of_toilets_16','survey_number_of_toilets_HET','survey_number_of_toilets_dual','survey_number_of_showers_hydra','survey_number_of_showers_rain','survey_number_of_showers_spray','survey_replaced_toilets_10','survey_replaced_showerheads_10','survey_replaced_clothes_washer_10','survey_replaced_dishwasher_10','survey_leak_toilet','survey_faucet_drips','survey_leak_pool','survey_leak_irrigation','survey_leak_other','survey_hot_water_gas','survey_hot_water_electric','survey_hot_water_propane','survey_hot_water_solar','survey_hot_water_wait','survey_hot_water_wait_kitchen','survey_hot_water_wait_master_bath','survey_hot_water_wait_other_bath','survey_hot_water_wait_other_room','survey_hot_water_waiting','survey_hot_water_wait_bother','survey_irrigation','survey_landscape_no_maintenance','survey_landscaper','survey_landscaper_waters','survey_well','survey_canal_ditch','survey_stream','survey_rain_barrel','survey_roof_direction','survey_gray_water','survey_other_sources_pct','survey_landscape_turf','survey_landscape_trees_and_shrubs','survey_garden_veggie','survey_garden_flower','survey_landscape_low_water','survey_landscape_nonirrigated','survey_manual_irrigation_pct','survey_irrigation_inground','survey_irrigation_inground_timer','survey_irrigation_inground_master','survey_irrigation_inground_bfp','survey_irrigation_inground_drip','survey_irrigation_manual_override','survey_irrigation_sensor_soil','survey_irrigation_sensor_rain','survey_irrigation_inground_timer_adjusted','survey_irrigation_inground_wbic','survey_spa_or_hot_tub_outdoor','survey_spa_or_hot_tub_outdoor_filled','survey_water_feature_outdoor','survey_pool','survey_pool_fill_automatic','survey_pool_cover_chemical','survey_pool_cover','survey_pool_cover_overnight','survey_car_washed','survey_walk_washed','survey_program_participation_3','survey_conservation_last_few','survey_giveaway_3','survey_retrofit_rebate_3','survey_landscape_rebate_3','survey_followed_guidelines','survey_replaced_clothes_washer_HE','survey_conservation_shower_short','survey_replaced_showerheads_LF','survey_toilet_inserts','survey_replaced_toilets_last_few','survey_disposal_used_less','survey_dishwasher_used_less','survey_clothes_washer_used_less','survey_faucet_drips_repaired','survey_audit_last_few','survey_shower_bucket','survey_replaced_dishwasher_HE','survey_car_washed_less_often','survey_irrigation_less_often','survey_irrigation_avoid_heat','survey_landscape_low_water_last_few','survey_irrigation_timer_shortened_last_few','survey_leak_irrigation_repaired','survey_irrigation_inground_monitor','survey_irrigation_inground_cycle','survey_gray_water_last_few','survey_rain_barrel_last_few','survey_drought','survey_household_pays','survey_year_built','survey_age_of_home','survey_years_in_home','survey_renter','survey_homies','survey_adults_employed','survey_baths_per_week','survey_showers_not_at_home','survey_highest_grade','survey_income','survey_participant','reuws2_attitude_A','reuws2_attitude_B','reuws2_attitude_C','reuws2_attitude_D','reuws2_attitude_E','reuws2_attitude_F','reuws2_attitude_G','reuws2_attitude_H','reuws2_attitude_I','reuws2_attitude_J','reuws2_attitude_K','reuws2_attitude_L','reuws2_attitude_M','reuws2_attitude_N','reuws2_attitude_O','reuws2_attitude_P','reuws2_attitude_Q','reuws2_attitude_R','reuws2_attitude_S','imported_d','MeterSPTypeDesc','Dateactive','SampleDays','AverageGPD','WinterReads','Fort_Collins_attitude_A','PremiseYear','Scottsdale_aerator_rebates','Scottsdale_irrigation_controller_rebates','Scottsdale_hot_water_recirculator_rebates','Scottsdale_showerhead_rebates','Scottsdale_toilet_rebates','Scottsdale_turf_rebates','Scottsdale_attitude_A','Scottsdale_attitude_B','Scottsdale_attitude_C','RandomSequence','LogAnnualKgal','LogNonseasonalKgal','LogSeasonalKgal','LogAnnualMean','LogAnnualStDev','LogNonseasonalMean','LogNonseasonalStDev','LogSeasonalMean','LogSeasonalStDev','NormalizedAnnual','NormalizedNonseasonal','NormalizedSeasonal','NormalizedAnnualPredictedByFamily','NormalizedAnnualResidualByFamily','NormalizedNonseasonalPredictedByFamily','NormalizedNonseasonalResidualByFamily','NormalizedSeasonalPredictedByFamily','NormalizedSeasonalResidualByFamily','SurveyID'
'SCOTTSDALE','AZ','85258','Sensus','','3/4','',12.00,'2010-01-07','2010-12-07',230.34,,,,4.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,'2012-04-12','',,,,,,1992.00,,,,,,,,,,1.00,2.36,,,2.09,0.38,,,,,0.69,,,,,,,,,552723.00
'SCOTTSDALE','AZ','85257','BADGER','','5/8','',12.00,'2010-01-28','2010-12-29',75.61,,,,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,'2012-04-12','',,,,,,1992.00,,,,,,,,,,7.00,1.87,,,2.09,0.38,,,,,-0.55,,,,,,,,,552964.00
'SCOTTSDALE','AZ','85331','BADGER','','1','',12.00,'2010-01-12','2010-12-09',104.19,,,,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,'2012-04-12','',,,,,,1997.00,,,,,,,,,,10.00,2.01,,,2.09,0.38,,,,,-0.19,,,,,,,,,552358.00
'SCOTTSDALE','AZ','85254','BADGER','','1','',12.00,'2010-01-21','2010-12-17',108.34,,,,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,'2012-04-12','',,,,,,1992.00,,,,,,,,,,14.00,2.03,,,2.09,0.38,,,,,-0.14,,,,,,,,,552803.00
'SCOTTSDALE','AZ','85257','Badger','','5/8','',12.00,'2010-01-29','2010-12-30',147.27,,,,4.00,1.00,1.00,,,1.00,,,,,,,,,,1959.00,3.00,1.00,0.00,0.00,0.00,1.00,55.00,1.00,2011.00,2.00,1.00,,1.00,1.00,,1.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,2.00,,,,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,1.00,1.00,0.00,1.00,0.00,0.00,0.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,,,0.00,,,,,0.00,5.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.67,1.00,1955.00,56.00,52.00,0.00,1.00,0.00,0.00,0.00,13.00,$25000.00,1.00,1.00,-0.50,0.50,1.00,1.00,1.00,1.00,1.00,1.00,0.50,0.50,-0.50,1.00,1.00,1.00,0.50,,1.00,1.00,'2012-04-12','',,,,,,1992.00,,,,,,,2.00,5.00,2.00,16.00,2.16,,,2.09,0.38,,,,,0.19,,,-0.46,0.65,-0.48,,-0.12,,552030.00
'SCOTTSDALE','AZ','85331','Badger','','1','',12.00,'2010-01-14','2010-12-13',88.80,,,,3.00,1.00,1.00,,,,,,,,,,,,,,3.00,,,,,,55.00,1.00,2011.00,3.00,2.00,1.00,0.00,0.00,0.00,3.00,2.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,,3.00,,,,2.00,,,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.33,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,,,1.00,0.00,0.00,0.00,0.00,0.50,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1985.00,26.00,,0.00,,,,,,,1.00,-1.00,0.50,-0.50,0.50,0.50,1.00,1.00,1.00,1.00,0.50,-1.00,-0.50,1.00,1.00,1.00,-0.50,0.50,0.50,0.50,'2012-04-12','',,,,,,1986.00,,,,,,,,,1.00,17.00,1.94,,,2.09,0.38,,,,,-0.37,,,,,,,,,552064.00
'SCOTTSDALE','AZ','85260','Sensus','','3/4','',12.00,'2010-01-26','2010-12-23',25.47,,,,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,'2012-04-12','',,,,,,1991.00,,,,,,,,,,23.00,1.40,,,2.09,0.38,,,,,-1.76,,,,,,,,,552163.00
'SCOTTSDALE','AZ','85253','BADGER','','3/4','',12.00,'2010-01-20','2010-12-20',256.22,,,,4.00,1.00,1.00,,,1.00,,,1.00,,,,,,,,,,,,,,55.00,1.00,2011.00,3.00,1.00,0.00,0.00,1.00,0.00,1.00,2.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.33,0.00,1.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,,1.00,1.00,0.00,1.00,0.00,0.00,0.33,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,,,1.00,1.00,0.00,0.00,0.00,0.50,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,1.00,-0.50,-1.00,-0.50,1.00,1.00,0.50,0.50,-1.00,1.00,-0.50,-1.00,-1.00,0.50,-1.00,0.50,-1.00,0.50,-1.00,0.50,'2012-04-12','',,,,,,1992.00,,,,,,,1.00,2.00,1.00,29.00,2.40,,,2.09,0.38,,,,,0.81,,,,,,,,,552797.00
'SCOTTSDALE','AZ','85257','BADGER','','5/8','',12.00,'2010-01-28','2010-12-29',47.55,,,,2.00,2.00,1.00,,,,,,,,,,,,,2008.00,3.00,2.00,0.00,0.00,0.00,2.00,55.00,1.00,2011.00,2.00,2.00,0.00,0.00,0.00,1.00,2.00,2.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.33,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,,,0.00,,,,,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.67,1.00,1975.00,36.00,3.00,0.00,0.00,2.00,5.00,2.00,18.00,$125000.00,0.00,0.50,-0.50,-0.50,0.50,0.50,-0.50,0.50,-1.00,0.50,0.50,0.50,-1.00,0.50,0.50,0.50,0.50,-0.50,-0.50,-0.50,'2012-04-12','',,,,,,1992.00,,,,,,,,3.00,1.00,37.00,1.67,,,2.09,0.38,,,,,-1.06,,,-0.08,-0.98,-0.13,,-8.49873839097343e-03,,552982.00
'SCOTTSDALE','AZ','85250','BADGER','','3/4','',12.00,'2010-01-07','2010-12-03',130.76,,,,4.00,1.00,1.00,,,1.00,,,1.00,,,,,,,1992.00,4.00,2.00,0.00,0.00,0.00,2.00,55.00,1.00,2011.00,3.00,1.00,0.00,0.00,1.00,0.00,1.00,2.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.33,0.50,1.00,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,1.00,0.00,0.00,1.00,1.00,0.33,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,4.00,0.00,1.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1985.00,26.00,19.00,0.00,2.00,1.00,0.00,0.00,16.00,$62500.00,1.00,0.50,0.50,0.50,1.00,1.00,0.50,0.50,0.50,1.00,1.00,1.00,0.50,1.00,1.00,1.00,1.00,1.00,1.00,1.00,'2012-04-12','',,,,,,1992.00,,1.00,,,2.00,1.00,,1.00,2.00,50.00,2.11,,,2.09,0.38,,,,,0.06,,,-0.08,0.14,-0.13,,-8.49873839097343e-03,,552662.00
'SCOTTSDALE','AZ','85262','Badger','','1','',12.00,'2010-01-15','2010-12-13',40.92,,,,2.00,2.00,1.00,,,1.00,,,,,,,,,,2010.00,4.00,2.00,0.00,0.00,0.00,2.00,55.00,1.00,2011.00,3.00,1.00,1.00,0.00,1.00,1.00,2.00,2.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.67,1.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,12.00,0.00,1.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.50,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,5.00,1.00,1997.50,13.50,1.00,0.00,2.00,1.00,0.00,0.00,13.00,$200000.00,1.00,0.50,1.00,0.50,1.00,1.00,0.50,0.50,-0.50,,-0.50,-0.50,-0.50,-0.50,0.50,0.50,-0.50,0.50,1.00,1.00,'2012-04-12','',,,,,,1999.00,,,,,,,2.00,2.00,3.00,53.00,1.61,,,2.09,0.38,,,,,-1.23,,,-0.08,-1.14,-0.13,,-8.49873839097343e-03,,552434.00
'SCOTTSDALE','AZ','85259','Badger','','1','',12.00,'2010-01-11','2010-12-08',78.88,,,,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,'2012-04-12','',,,,,,2000.00,,,,,,,,,,54.00,1.89,,,2.09,0.38,,,,,-0.50,,,,,,,,,552466.00
'SCOTTSDALE','AZ','85258','BADGER','','3/4','',12.00,'2010-01-08','2010-12-08',124.21,,,,4.00,2.00,1.00,,,,,,,,,,,,,2006.00,3.00,,,,,,55.00,1.00,2011.00,2.00,1.00,0.00,0.00,1.00,1.00,1.00,2.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,,,0.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,,,0.00,,,,,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.33,1.00,1975.00,36.00,5.00,0.00,0.00,1.00,0.00,0.00,18.00,$62500.00,1.00,-0.50,0.50,0.50,-0.50,-0.50,0.50,0.50,0.00,1.00,0.50,-0.50,-0.50,-0.50,0.50,0.50,0.50,0.50,0.50,0.50,'2012-04-12','',,,,,,1992.00,,,,,,,2.00,4.00,1.00,57.00,2.09,,,2.09,0.38,,,,,3.05929387042263e-03,,,,,,,,,552790.00
'SCOTTSDALE','AZ','85258','BADGER','','3/4','',12.00,'2010-01-07','2010-12-06',44.56,,,,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,'2012-04-12','',,,,,,1992.00,,,,,,,,,,67.00,1.64,,,2.09,0.38,,,,,-1.13,,,,,,,,,552737.00
'SCOTTSDALE','AZ','85259','BADGER','','3/4','',12.00,'2010-01-26','2010-12-23',100.81,,,,3.00,1.00,1.00,,,1.00,,,1.00,,,,,,,2010.00,4.00,4.00,1.00,0.00,0.00,5.00,55.00,1.00,2011.00,3.00,1.00,1.00,0.00,2.00,0.00,2.00,3.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00,3.00,,,,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.67,0.50,1.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,,1.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,,,1.00,1.00,0.00,0.00,0.00,1.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.67,1.00,1985.00,26.00,1.00,0.00,2.00,2.00,5.00,0.00,13.00,$62500.00,1.00,-0.50,1.00,1.00,0.50,-0.50,0.50,0.50,0.00,1.00,-0.50,-1.00,-1.00,0.50,0.50,0.50,-1.00,0.50,1.00,0.50,'2012-04-12','',,,,,,1992.00,,,,,,,2.00,4.00,1.00,70.00,2.00,,,2.09,0.38,,,,,-0.22,,,0.89,-1.12,0.79,,0.35,,552883.00
'SCOTTSDALE','AZ','85258','Badger','','1','',12.00,'2010-01-27','2010-12-28',208.20,,,,4.00,1.00,1.00,,,1.00,,,1.00,,,,,,,2000.00,3.00,2.00,0.00,0.00,0.00,2.00,55.00,1.00,2011.00,4.00,2.00,,1.00,1.00,1.00,2.00,3.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,,,,,0.00,0.00,1.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.67,0.50,1.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,,1.00,1.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,,0.00,0.00,,,0.00,,,,,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1992.00,19.00,11.00,0.00,1.00,0.00,0.00,5.00,18.00,$125000.00,1.00,0.00,0.50,0.50,1.00,1.00,-0.50,-0.50,0.00,1.00,0.50,-0.50,-0.50,1.00,1.00,1.00,0.50,0.50,1.00,0.50,'2012-04-12','',,,,,,1990.00,,,,,,,1.00,3.00,1.00,71.00,2.31,,,2.09,0.38,,,,,0.57,,,-0.08,0.66,-0.13,,-8.49873839097343e-03,,552145.00
'SCOTTSDALE','AZ','85255','Sensus','','3/4','',12.00,'2010-01-13','2010-12-13',134.04,,,,4.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,'2012-04-12','',,,,,,1998.00,,,,,,,,,,72.00,2.12,,,2.09,0.38,,,,,0.08,,,,,,,,,552398.00
'SCOTTSDALE','AZ','85255','BADGER','','1','',12.00,'2010-01-11','2010-12-08',221.40,,,,4.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,'2012-04-12','',,,,,,2009.00,,,,,,,,,,79.00,2.34,,,2.09,0.38,,,,,0.64,,,,,,,,,552605.00
'SCOTTSDALE','AZ','85260','Sensus','','3/4','',12.00,'2010-01-22','2010-12-21',67.91,,,,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,'2012-04-12','',,,,,,1992.00,,,,,,,,,,80.00,1.83,,,2.09,0.38,,,,,-0.67,,,,,,,,,552892.00
'SCOTTSDALE','AZ','85260','BADGER','','1','',12.00,'2010-01-22','2010-12-21',197.48,,,,4.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,'2012-04-12','',,,,,,1993.00,,,,,,,,,,81.00,2.29,,,2.09,0.38,,,,,0.52,,,,,,,,,552216.00
'SCOTTSDALE','AZ','85262','Badger','','1','',12.00,'2010-01-14','2010-12-13',147.54,,,,4.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,'2012-04-12','',,,,,,1999.00,,,,,,,,,,87.00,2.16,,,2.09,0.38,,,,,0.19,,,,,,,,,552438.00
'SCOTTSDALE','AZ','85254','Badger','','1','',12.00,'2010-01-21','2010-12-17',842.18,,,,6.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,'2012-04-12','',,,,,,1996.00,,,,,,,,,,94.00,2.92,,,2.09,0.38,,,,,2.13,,,,,,,,,552332.00
